StockCode,Description,TotalRevenue,UnitsSold,FirstSale,LastSale,DaysWithSales,TotalOrders,AvgPrice,Recency,SalesFreq,Segment
21777,RECIPE BOX WITH METAL HEART,95.4,12,2010-12-01 08:34:00,2010-12-06 10:08:00,2,6,7.95,369,2,1
21781,MA CAMPAGNE CUTLERY BOX,2661.7999999999997,168,2010-12-01 15:35:00,2011-07-10 16:18:00,70,101,15.844047619047618,152,70,1
21784,SHOE SHINE BOX ,633.0699999999999,57,2010-12-02 13:08:00,2011-09-01 13:40:00,42,44,11.106491228070174,99,42,0
21785,RAIN PONCHO ,268.76,411,2010-12-05 12:53:00,2011-02-15 14:44:00,4,5,0.6539172749391727,297,4,1
21786,POLKADOT RAIN HAT ,916.99,1937,2010-12-01 10:19:00,2011-12-09 10:03:00,147,226,0.47340733092410947,1,147,0
21787,RAIN PONCHO RETROSPOT,7161.1,8875,2010-12-01 14:32:00,2011-12-09 10:03:00,158,243,0.8068845070422536,1,158,2
21788,KIDS RAIN MAC BLUE,1029.24,1293,2010-12-02 16:38:00,2011-12-06 11:39:00,76,85,0.7960092807424594,4,76,0
21789,KIDS RAIN MAC PINK,803.65,925,2010-12-01 16:57:00,2011-12-02 16:39:00,80,92,0.8688108108108108,7,80,0
21790,VINTAGE SNAP CARDS,12510.009999999998,14521,2010-12-01 11:57:00,2011-12-09 12:20:00,281,926,0.8615116038840299,1,281,2
21791,VINTAGE HEADS AND TAILS CARD GAME ,10504.4,7864,2010-12-01 08:45:00,2011-12-09 10:03:00,243,607,1.3357578840284843,1,243,2
21792,CLASSIC FRENCH STYLE BASKET GREEN ,1497.72,344,2010-12-07 18:36:00,2011-08-03 12:58:00,58,76,4.353837209302326,128,58,0
21793,CLASSIC FRENCH STYLE BASKET BROWN,1296.6100000000001,304,2010-12-19 13:31:00,2011-12-01 16:22:00,58,74,4.265164473684211,8,58,0
21794,CLASSIC FRENCH STYLE BASKET NATURAL,2213.42,522,2010-12-01 12:43:00,2011-10-25 15:34:00,87,106,4.240268199233717,45,87,0
21801,CHRISTMAS TREE DECORATION WITH BELL,530.26,1251,2010-12-01 14:32:00,2011-10-30 11:22:00,78,125,0.42386890487609913,41,78,0
21802,CHRISTMAS TREE HEART DECORATION,919.14,2122,2010-12-01 14:32:00,2011-11-21 11:55:00,108,180,0.43314797360980206,19,108,0
21803,CHRISTMAS TREE STAR DECORATION,1016.02,2353,2010-12-01 14:32:00,2011-12-09 12:20:00,114,198,0.4317977050573736,1,114,0
21804,WHITE CHRISTMAS GARLAND STARS TREES,830.03,225,2010-12-01 12:43:00,2011-12-02 11:28:00,45,65,3.689022222222222,8,45,0
21807,WHITE CHRISTMAS STAR DECORATION,189.0,438,2010-12-03 09:31:00,2011-11-22 15:43:00,24,30,0.4315068493150685,17,24,0
21808,"CHRISTMAS GARLAND STARS,TREES",637.83,180,2010-12-01 15:35:00,2011-12-09 10:03:00,41,48,3.5435000000000003,1,41,0
21809,CHRISTMAS HANGING TREE WITH BELL,1117.92,1964,2010-12-01 14:32:00,2011-12-09 12:20:00,69,117,0.5692057026476579,1,69,0
21810,CHRISTMAS HANGING STAR WITH BELL,2981.8399999999997,5840,2010-12-01 12:49:00,2011-12-09 10:51:00,89,252,0.5105890410958903,1,89,0
21811,HANGING HEART WITH BELL,2682.4,4850,2010-12-01 11:45:00,2011-11-23 12:45:00,116,245,0.5530721649484537,17,116,0
21812,GARLAND WITH HEARTS AND BELLS,1746.27,393,2010-12-06 10:08:00,2011-12-09 10:03:00,71,100,4.443435114503817,1,71,0
21813,GARLAND WITH STARS AND BELLS,2280.4700000000003,549,2010-12-01 15:35:00,2011-12-09 10:03:00,75,112,4.153861566484518,1,75,0
21814,HEART T-LIGHT HOLDER ,111.77,74,2010-12-01 12:23:00,2011-11-29 11:23:00,14,15,1.5104054054054052,11,14,0
21815,STAR  T-LIGHT HOLDER ,270.22999999999996,158,2010-12-01 12:23:00,2011-11-23 12:58:00,23,29,1.7103164556962023,16,23,0
21816,CHRISTMAS TREE T-LIGHT HOLDER,47.849999999999994,33,2010-12-01 12:23:00,2011-11-27 13:00:00,7,7,1.4499999999999997,12,7,0
21817,GLITTER CHRISTMAS TREE,410.91,906,2010-12-01 15:35:00,2011-11-09 15:17:00,37,58,0.45354304635761594,30,37,0
21818,GLITTER HEART DECORATION,1320.41,2737,2010-12-01 15:08:00,2011-12-07 16:56:00,89,163,0.4824296675191816,2,89,0
21819,GLITTER CHRISTMAS STAR ,1066.65,2470,2010-12-05 14:45:00,2011-12-08 14:38:00,61,124,0.4318421052631579,1,61,0
21820,GLITTER HEART GARLAND WITH BELLS ,1368.47,329,2010-12-01 17:06:00,2011-12-05 16:05:00,70,90,4.159483282674772,4,70,0
21821,GLITTER STAR GARLAND WITH BELLS ,1037.05,251,2010-12-01 14:32:00,2011-12-05 11:58:00,47,62,4.131673306772909,5,47,0
21822,GLITTER CHRISTMAS TREE WITH BELLS,719.3,698,2010-12-01 14:32:00,2011-12-09 10:03:00,57,97,1.0305157593123209,1,57,0
21823,PAINTED METAL HEART WITH HOLLY BELL,854.3499999999999,1372,2010-12-01 11:45:00,2011-11-15 12:02:00,50,97,0.622704081632653,25,50,0
21824,PAINTED METAL STAR WITH HOLLY BELLS,1102.4199999999998,1916,2010-12-01 11:45:00,2011-11-15 12:02:00,55,117,0.575375782881002,25,55,0
21826,EIGHT PIECE DINOSAUR SET,185.18,125,2010-12-01 12:54:00,2011-03-16 13:00:00,25,35,1.48144,268,25,1
21827,EIGHT PIECE CREEPY CRAWLIE SET,7.5,6,2010-12-06 12:55:00,2011-03-29 17:23:00,3,3,1.25,255,3,1
21828,EIGHT PIECE SNAKE  SET,435.79,330,2010-12-03 11:36:00,2011-12-09 10:03:00,66,84,1.3205757575757577,1,66,0
21829,DINOSAUR KEYRINGS ASSORTED,1460.74,6765,2010-12-03 11:36:00,2011-10-20 12:07:00,130,177,0.21592609016999262,51,130,0
21830,ASSORTED CREEPY CRAWLIES,1107.07,2621,2010-12-01 17:06:00,2011-11-23 13:39:00,83,99,0.42238458603586415,16,83,0
21832,CHOCOLATE CALCULATOR,1790.1,954,2010-12-01 09:45:00,2011-12-09 10:03:00,119,198,1.8764150943396225,1,119,0
21833,CAMOUFLAGE LED TORCH,4594.43,2726,2010-12-01 14:05:00,2011-12-09 10:03:00,111,168,1.6854108584005871,1,111,0
21836,GINGHAM OVEN GLOVE RED HEART ,26.490000000000002,5,2010-12-05 12:29:00,2011-01-20 15:22:00,3,3,5.298,323,3,1
21839,MUMMY MOUSE RED GINGHAM RIBBON,5.45,1,2011-03-27 14:28:00,2011-03-27 14:28:00,1,1,5.45,257,1,1
21841,BABY MOUSE RED GINGHAM DRESS,310.25,73,2011-03-07 17:52:00,2011-11-29 10:57:00,19,21,4.25,11,19,0
21843,RED RETROSPOT CAKE STAND,21354.3,2012,2010-12-01 13:31:00,2011-12-09 10:26:00,242,539,10.613469184890656,1,242,2
21844,RED RETROSPOT MUG,5167.6900000000005,1847,2010-12-01 10:52:00,2011-12-06 14:30:00,130,156,2.7978830536004335,3,130,0
21845,DAIRY MAID STRIPE MUG,1720.3000000000002,1906,2010-12-03 14:54:00,2011-11-28 11:27:00,66,82,0.9025708289611754,12,66,0
21846,PINK DIAMANTE PEN IN GIFT BOX,1206.97,424,2010-12-01 17:06:00,2011-12-08 19:28:00,75,103,2.846627358490566,1,75,0
21847,GREEN  DIAMANTE PEN IN GIFT BOX,178.89,76,2010-12-06 10:08:00,2011-11-16 15:23:00,28,33,2.353815789473684,23,28,0
21849,SILVER DIAMANTE PEN IN GIFT BOX,548.93,173,2010-12-02 13:32:00,2011-12-04 14:45:00,53,66,3.1730057803468203,5,53,0
21850,BLUE  DIAMANTE PEN IN GIFT BOX,488.13,129,2010-12-01 16:57:00,2011-12-06 12:56:00,43,54,3.783953488372093,3,43,0
21851,LILAC DIAMANTE PEN IN GIFT BOX,454.99,141,2010-12-01 14:32:00,2011-12-05 17:24:00,48,63,3.2268794326241137,4,48,0
21864,UNION JACK FLAG PASSPORT COVER ,2041.69,828,2010-12-01 16:01:00,2011-12-09 10:26:00,127,184,2.4658091787439615,1,127,0
21865,PINK UNION JACK  PASSPORT COVER ,618.9300000000001,271,2010-12-03 11:28:00,2011-12-08 12:07:00,92,106,2.283874538745388,2,92,0
21866,UNION JACK FLAG LUGGAGE TAG,1292.38,747,2010-12-01 11:45:00,2011-12-08 12:07:00,141,193,1.7300937081659975,2,141,0
21867,PINK UNION JACK  LUGGAGE TAG,480.25,348,2010-12-01 11:45:00,2011-12-08 20:01:00,96,121,1.3800287356321839,1,96,0
21868,POTTING SHED TEA MUG,3259.75,2477,2010-12-01 17:06:00,2011-12-05 17:17:00,163,302,1.3160072668550666,4,163,0
21870,I CAN ONLY PLEASE ONE PERSON MUG,1851.46,1407,2010-12-01 13:24:00,2011-08-24 09:36:00,99,163,1.3158919687277897,108,99,0
21871,SAVE THE PLANET MUG,6679.56,5453,2010-12-01 09:02:00,2011-12-09 10:20:00,200,357,1.2249330643682377,1,200,2
21872,GLAMOROUS  MUG,1454.98,1292,2010-12-02 11:45:00,2011-12-09 08:48:00,112,142,1.1261455108359133,1,112,0
21873,IF YOU CAN'T STAND THE HEAT MUG,1834.3,1618,2010-12-01 13:24:00,2011-12-08 13:59:00,92,116,1.1336835599505561,1,92,0
21874,GIN AND TONIC MUG,4141.179999999999,2974,2010-12-01 13:24:00,2011-12-09 10:26:00,171,295,1.3924613315400132,1,171,0
21875,KINGS CHOICE MUG,2429.38,2055,2010-12-01 17:06:00,2011-12-09 09:08:00,121,148,1.1821800486618006,1,121,0
21876,POTTERING MUG,4825.36,3789,2010-12-03 11:13:00,2011-12-09 10:26:00,184,333,1.27351807864872,1,184,2
21877,HOME SWEET HOME MUG,6932.78,5411,2010-12-01 17:24:00,2011-12-09 10:20:00,210,349,1.2812382184439106,1,210,2
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2172.2,2523,2010-12-03 10:43:00,2011-12-08 13:50:00,140,224,0.8609591755846214,1,140,0
21879,HEARTS GIFT TAPE,385.47,1176,2010-12-01 14:32:00,2011-12-09 10:03:00,53,94,0.32778061224489796,1,53,0
21880,RED RETROSPOT TAPE,858.7800000000001,1903,2010-12-01 11:49:00,2011-12-07 17:05:00,160,240,0.4512769311613243,2,160,0
21881,CUTE CATS TAPE,383.11,1102,2010-12-02 10:27:00,2011-12-08 10:53:00,60,79,0.3476497277676951,2,60,0
21882,SKULLS TAPE,251.17000000000002,704,2010-12-03 11:19:00,2011-11-28 13:26:00,52,70,0.3567755681818182,11,52,0
21883,STARS GIFT TAPE ,725.4200000000001,1653,2010-12-01 08:45:00,2011-12-07 17:05:00,88,133,0.4388505747126437,2,88,0
21884,CAKES AND BOWS GIFT  TAPE,413.76,1166,2010-12-01 14:32:00,2011-12-04 11:45:00,68,93,0.3548542024013722,6,68,0
21888,BINGO SET,6659.54,1688,2010-12-01 14:32:00,2011-12-05 11:58:00,190,378,3.945225118483412,5,190,2
21889,WOODEN BOX OF DOMINOES,8847.29,6390,2010-12-01 10:29:00,2011-12-09 10:03:00,217,587,1.3845524256651018,1,217,2
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3674.11,1147,2010-12-01 12:03:00,2011-12-09 10:26:00,141,231,3.2032345248474283,1,141,0
21891,TRADITIONAL WOODEN SKIPPING ROPE,10504.85,8130,2010-12-01 10:29:00,2011-12-08 18:22:00,205,425,1.292109471094711,1,205,2
21892,TRADITIONAL WOODEN CATCH CUP GAME ,4317.16,3192,2010-12-01 12:03:00,2011-12-09 10:03:00,200,412,1.3524937343358396,1,200,2
21894,POTTING SHED SEED ENVELOPES,902.08,592,2010-12-01 12:31:00,2011-12-08 13:50:00,99,130,1.5237837837837838,1,99,0
21895,POTTING SHED SOW 'N' GROW SET,12.72,2,2010-12-01 12:31:00,2010-12-09 16:31:00,2,2,6.36,365,2,1
21896,POTTING SHED TWINE,2272.79,980,2010-12-01 17:06:00,2011-12-06 09:09:00,91,110,2.319173469387755,4,91,0
21897,POTTING SHED CANDLE CITRONELLA,1268.1899999999998,405,2011-01-14 10:12:00,2011-04-27 11:47:00,3,3,3.131333333333333,227,3,1
21898,POTTING SHED ROSE CANDLE,1541.11,493,2011-02-14 09:41:00,2011-04-27 11:47:00,19,25,3.1259837728194726,227,19,1
21899,GARAGE KEY FOB,1757.97,2679,2010-12-01 17:06:00,2011-12-08 16:18:00,176,278,0.6562038073908175,1,176,0
21900,"KEY FOB , SHED",2197.17,3228,2010-12-02 15:55:00,2011-12-09 10:03:00,205,372,0.6806598513011153,1,205,2
21901,"KEY FOB , BACK DOOR ",1277.89,1828,2010-12-02 14:09:00,2011-12-09 10:03:00,180,308,0.6990645514223195,1,180,0
21902,"KEY FOB , FRONT  DOOR ",1262.3700000000001,1962,2010-12-02 14:09:00,2011-12-09 10:03:00,143,210,0.6434097859327218,1,143,0
21903,MAN FLU METAL SIGN,2490.13,1160,2010-12-03 11:36:00,2011-12-08 15:51:00,134,180,2.1466637931034485,1,134,0
21904,HOUSE WRECKING METAL SIGN ,105.0,50,2010-12-05 13:55:00,2011-05-25 17:31:00,22,23,2.1,198,22,1
21905,MORE BUTTER METAL SIGN ,821.61,760,2010-12-03 12:43:00,2011-12-09 10:03:00,127,160,1.0810657894736841,1,127,0
21906,PHARMACIE FIRST AID TIN,4470.8099999999995,581,2010-12-01 17:06:00,2011-12-09 10:03:00,127,173,7.695025817555937,1,127,0
21907,I'M ON HOLIDAY METAL SIGN,5027.18,2371,2010-12-01 11:21:00,2011-12-07 15:56:00,205,367,2.1202783635596796,2,205,2
21908,CHOCOLATE THIS WAY METAL SIGN,7752.22,3771,2010-12-01 17:06:00,2011-12-09 08:48:00,248,468,2.055746486343145,1,248,2
21910,WAY OUT METAL SIGN ,59.39999999999999,36,2010-12-05 16:24:00,2011-02-16 16:57:00,8,8,1.6499999999999997,296,8,1
21911,GARDEN METAL SIGN ,203.20999999999998,114,2010-12-01 14:32:00,2011-04-15 10:42:00,25,29,1.7825438596491225,239,25,1
21912,VINTAGE SNAKES & LADDERS,7047.7,1786,2010-12-01 09:45:00,2011-12-09 10:26:00,209,396,3.946080627099664,1,209,2
21913,VINTAGE SEASIDE JIGSAW PUZZLES,1565.83,398,2010-12-01 08:45:00,2011-12-08 09:28:00,113,148,3.934246231155779,2,113,0
21914,BLUE HARMONICA IN BOX ,10339.81,7876,2010-12-01 11:41:00,2011-12-09 12:16:00,213,603,1.3128250380904012,1,213,2
21915,RED  HARMONICA IN BOX ,26294.08,21903,2010-12-01 11:41:00,2011-12-07 15:07:00,247,661,1.200478473268502,2,247,2
21916,SET 12 RETRO WHITE CHALK STICKS,1973.49,4599,2010-12-01 11:57:00,2011-12-09 12:31:00,206,359,0.42911285061969995,1,206,2
21917,SET 12 KIDS  WHITE CHALK STICKS,1701.93,4151,2010-12-01 14:34:00,2011-12-08 15:03:00,145,225,0.4100048181161166,1,145,0
21918,SET 12 KIDS COLOUR  CHALK STICKS,2950.25,7199,2010-12-02 09:44:00,2011-12-09 12:16:00,199,369,0.40981386303653283,1,199,2
21922,UNION STRIPE WITH FRINGE  HAMMOCK,6944.360000000001,898,2010-12-01 14:32:00,2011-12-08 09:28:00,137,208,7.73314031180401,2,137,0
21925,UNION STRIPE CUSHION COVER ,503.75,403,2010-12-02 17:41:00,2011-12-06 17:49:00,56,65,1.25,3,56,0
21926,RED/CREAM STRIPE CUSHION COVER ,509.9,414,2011-01-19 15:20:00,2011-12-08 12:07:00,56,60,1.2316425120772947,2,56,0
21927,BLUE/CREAM STRIPE CUSHION COVER ,771.15,623,2010-12-02 17:41:00,2011-12-01 19:42:00,89,99,1.2378009630818618,8,89,0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,21144.41,10468,2010-12-01 14:11:00,2011-12-09 10:26:00,268,806,2.019909247229652,1,268,2
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,2010-12-01 09:37:00,2011-12-09 12:19:00,279,865,2.106038524441214,1,279,2
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,2010-12-01 12:43:00,2011-12-09 10:26:00,255,705,2.1755514134824483,1,255,2
21931,JUMBO STORAGE BAG SUKI,30764.01,13651,2010-12-01 09:37:00,2011-12-09 12:19:00,289,1184,2.25360852684785,1,289,2
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4995.38,2720,2010-12-03 12:24:00,2011-12-09 10:03:00,201,446,1.8365367647058823,1,201,2
21933,PINK VINTAGE PAISLEY PICNIC BAG,4957.43,2672,2010-12-03 12:24:00,2011-12-08 16:30:00,185,410,1.8553255988023953,1,185,2
21934,SKULL SHOULDER BAG,4480.28,2421,2010-12-01 09:41:00,2011-12-09 10:26:00,209,411,1.8505906650144568,1,209,2
21935,SUKI  SHOULDER BAG,6298.61,3393,2010-12-01 14:32:00,2011-12-09 10:26:00,231,530,1.8563542587680517,1,231,2
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,2010-12-03 11:36:00,2011-12-09 10:03:00,216,531,2.9272747804266,1,216,2
21937,STRAWBERRY   PICNIC BAG,4898.849999999999,1707,2010-12-03 15:19:00,2011-12-04 12:32:00,109,251,2.8698594024604565,6,109,0
21942,SKULLS DESIGN FLANNEL,313.01,287,2010-12-01 14:32:00,2011-12-09 10:26:00,72,103,1.0906271777003484,1,72,0
21943,CAKES AND RABBITS DESIGN FLANNEL ,134.48999999999998,119,2010-12-06 10:08:00,2011-12-08 09:20:00,45,50,1.1301680672268906,2,45,0
21944,KITTENS DESIGN FLANNEL,310.19,337,2010-12-01 14:32:00,2011-12-08 19:57:00,72,100,0.9204451038575667,1,72,0
21945,STRAWBERRIES  DESIGN FLANNEL ,373.34,358,2010-12-03 11:27:00,2011-12-09 10:03:00,73,105,1.042849162011173,1,73,0
21946,PARTY TIME DESIGN FLANNEL,75.35,86,2010-12-12 12:08:00,2011-12-08 09:20:00,25,25,0.8761627906976743,2,25,0
21947,SET OF 6 HEART CHOPSTICKS,1139.65,811,2010-12-03 17:20:00,2011-12-09 10:03:00,105,152,1.4052404438964243,1,105,0
21948,SET OF 6 CAKE CHOPSTICKS,978.23,640,2010-12-02 14:09:00,2011-12-07 10:35:00,111,153,1.5284843750000001,3,111,0
21949,SET OF 6 STRAWBERRY CHOPSTICKS,1054.44,801,2010-12-01 14:32:00,2011-12-09 10:03:00,96,144,1.3164044943820226,1,96,0
21955,DOORMAT UNION JACK GUNS AND ROSES,7580.82,1228,2010-12-01 11:45:00,2011-12-09 10:26:00,150,206,6.173306188925081,1,150,0
21967,PACK OF 12 SKULL TISSUES,1582.1499999999999,5271,2010-12-01 13:24:00,2011-12-09 10:03:00,149,232,0.30016125972301266,1,149,0
21972,SET OF 36 DINOSAUR PAPER DOILIES,499.08,335,2010-12-13 09:35:00,2011-12-01 16:22:00,53,65,1.4897910447761193,8,53,0
21973,SET OF 36 MUSHROOM PAPER DOILIES,230.54999999999998,159,2010-12-06 11:26:00,2011-11-28 11:18:00,30,30,1.45,12,30,0
21974,SET OF 36 PAISLEY FLOWER DOILIES,3545.6,2219,2010-12-01 17:06:00,2011-12-08 10:53:00,203,360,1.5978368634520053,2,203,2
21975,PACK OF 60 DINOSAUR CAKE CASES,6102.51,12312,2010-12-01 09:37:00,2011-12-08 12:43:00,253,601,0.49565545808966865,2,253,2
21976,PACK OF 60 MUSHROOM CAKE CASES,2869.9,5199,2010-12-01 11:57:00,2011-12-09 10:03:00,223,393,0.5520100019234468,1,223,2
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,2010-12-01 09:37:00,2011-12-09 10:26:00,277,869,0.49259951651893635,1,277,2
21980,PACK OF 12 RED RETROSPOT TISSUES ,2121.18,6685,2010-12-01 10:52:00,2011-12-09 10:03:00,182,297,0.31730441286462224,1,182,2
21981,PACK OF 12 WOODLAND TISSUES ,1651.3,5468,2010-12-01 13:24:00,2011-12-09 10:03:00,163,271,0.30199341623994147,1,163,2
21982,PACK OF 12 SUKI TISSUES ,2215.6099999999997,7173,2010-12-01 13:24:00,2011-12-09 10:03:00,197,359,0.30888191830475387,1,197,2
21983,PACK OF 12 BLUE PAISLEY TISSUES ,777.67,2301,2010-12-01 13:24:00,2011-12-09 10:26:00,120,155,0.33797044763146455,1,120,0
21984,PACK OF 12 PINK PAISLEY TISSUES ,1112.6,3458,2010-12-01 13:24:00,2011-12-09 10:03:00,154,212,0.3217466743782533,1,154,0
21985,PACK OF 12 HEARTS DESIGN TISSUES ,2729.5099999999998,8775,2010-12-01 12:23:00,2011-12-08 19:28:00,218,427,0.3110552706552706,1,218,2
21986,PACK OF 12 PINK POLKADOT TISSUES,1197.73,4067,2010-12-01 11:57:00,2011-12-09 10:03:00,136,189,0.29449963117777234,1,136,0
21987,PACK OF 6 SKULL PAPER CUPS,1346.65,2113,2010-12-02 12:47:00,2011-12-09 10:26:00,134,171,0.6373166114529106,1,134,0
21988,PACK OF 6 SKULL PAPER PLATES,1862.75,2321,2010-12-02 12:47:00,2011-12-06 14:23:00,137,193,0.8025635501938819,3,137,0
21989,PACK OF 20 SKULL PAPER NAPKINS,2233.1,2409,2010-12-02 12:47:00,2011-12-09 10:26:00,203,335,0.9269821502698214,1,203,2
21990,MODERN FLORAL STATIONERY SET,2870.0,1672,2010-12-01 14:32:00,2011-12-09 11:34:00,189,366,1.7165071770334928,1,189,0
21991,BOHEMIAN COLLAGE STATIONERY SET,1080.82,635,2010-12-01 14:32:00,2011-12-08 16:30:00,142,211,1.7020787401574802,1,142,0
21992,VINTAGE PAISLEY STATIONERY SET,3510.72,1901,2010-12-01 12:23:00,2011-11-15 14:48:00,205,436,1.846775381378222,24,205,2
21993,FLORAL FOLK STATIONERY SET,3355.84,1937,2010-12-01 14:32:00,2011-12-09 10:03:00,214,425,1.7324935467217346,1,214,2
22016,Dotcomgiftshop Gift Voucher £100.00,83.33,1,2011-08-02 16:11:00,2011-08-02 16:11:00,1,1,83.33,129,1,1
22021,BLUE FELT EASTER EGG BASKET,610.4499999999999,365,2010-12-05 12:01:00,2011-03-21 11:24:00,44,71,1.6724657534246574,264,44,1
22023,EMPIRE BIRTHDAY CARD,538.72,1206,2010-12-02 10:39:00,2011-12-08 09:20:00,115,146,0.44669983416252074,2,115,0
22024,RAINY LADIES BIRTHDAY CARD,1023.73,2406,2010-12-01 12:35:00,2011-12-09 10:03:00,147,213,0.42549044056525354,1,147,0
22025,RING OF ROSES BIRTHDAY CARD,761.05,1835,2010-12-01 16:21:00,2011-12-09 10:03:00,106,130,0.4147411444141689,1,106,0
22026,BANQUET BIRTHDAY  CARD  ,712.08,1644,2010-12-07 14:41:00,2011-12-09 10:03:00,129,160,0.4331386861313869,1,129,0
22027,TEA PARTY BIRTHDAY CARD,1873.71,4368,2010-12-02 10:39:00,2011-12-09 10:03:00,210,362,0.4289629120879121,1,210,2
22028,PENNY FARTHING BIRTHDAY CARD,1304.1399999999999,3042,2010-12-02 10:39:00,2011-12-09 10:03:00,167,262,0.4287113740959894,1,167,0
22029,SPACEBOY BIRTHDAY CARD,3387.5699999999997,8161,2010-12-02 09:44:00,2011-12-09 10:03:00,247,527,0.4150925131724053,1,247,2
22030,SWALLOWS GREETING CARD,2237.89,5527,2010-12-01 16:52:00,2011-12-08 19:57:00,160,274,0.4049013931608467,1,160,2
22031,BOTANICAL LAVENDER BIRTHDAY CARD,225.59,504,2010-12-02 16:12:00,2011-12-09 10:03:00,65,80,0.44759920634920636,1,65,0
22032,BOTANICAL LILY GREETING CARD,181.98,427,2010-12-15 13:24:00,2011-11-25 10:20:00,48,60,0.42618266978922714,15,48,0
22033,BOTANICAL ROSE GREETING CARD,141.95,337,2010-12-15 13:24:00,2011-11-22 15:41:00,22,22,0.42121661721068243,17,22,0
22034,ROBIN CHRISTMAS CARD,5.02,10,2010-12-05 13:03:00,2011-11-25 15:23:00,4,4,0.502,14,4,0
22035,VINTAGE CARAVAN GREETING CARD ,617.3199999999999,1452,2010-12-03 12:24:00,2011-10-31 14:41:00,101,137,0.4251515151515151,39,101,0
22037,ROBOT BIRTHDAY CARD,1695.32,3929,2010-12-01 14:32:00,2011-12-09 10:03:00,189,354,0.4314889284805294,1,189,2
22038,BOTANICAL LAVENDER GIFT WRAP ,199.5,475,2011-02-02 14:37:00,2011-12-06 12:15:00,19,19,0.42,4,19,0
22039,BOTANICAL LILY GIFT WRAP,105.0,250,2011-04-10 15:15:00,2011-10-25 13:46:00,7,7,0.42,45,7,0
22040,BOTANICAL ROSE GIFT WRAP,304.5,725,2010-12-16 10:30:00,2011-11-17 10:01:00,27,28,0.42,23,27,0
22041,"RECORD FRAME 7"" SINGLE SIZE ",11354.56,4374,2010-12-01 12:27:00,2011-12-09 10:26:00,194,361,2.5959213534522174,1,194,2
22042,CHRISTMAS CARD SINGING ANGEL,168.33,399,2010-12-02 16:59:00,2011-12-06 11:33:00,31,39,0.42187969924812035,4,31,0
22043,CHRISTMAS CARD SCREEN PRINT ,304.5,1238,2010-12-01 14:32:00,2011-12-02 13:35:00,55,64,0.24596122778675283,7,55,0
22044,CHRISTMAS CARD STACK OF PRESENTS,196.44,816,2010-12-02 09:44:00,2011-11-07 12:29:00,24,36,0.24073529411764705,33,24,0
22045,SPACEBOY GIFT WRAP,2673.34,6527,2010-12-02 13:32:00,2011-12-08 12:29:00,145,208,0.40958173739849857,2,145,2
22046,TEA PARTY  WRAPPING PAPER ,929.0,2250,2010-12-23 12:58:00,2011-12-08 10:24:00,64,75,0.4128888888888889,2,64,0
22047,EMPIRE GIFT WRAP,1373.5,3375,2010-12-13 13:32:00,2011-12-05 17:09:00,85,106,0.40696296296296297,4,85,0
22048,BIRTHDAY BANQUET GIFT WRAP,393.5,975,2010-12-08 10:38:00,2011-12-05 15:51:00,29,32,0.4035897435897436,4,29,0
22049,WRAP CHRISTMAS SCREEN PRINT,291.5,1050,2010-12-01 13:23:00,2011-10-20 10:34:00,23,33,0.2776190476190476,51,23,0
22050,PINK PAISLEY ROSE GIFT WRAP,498.5,1225,2010-12-06 15:00:00,2011-12-05 15:51:00,36,40,0.4069387755102041,4,36,0
22051,BLUE SCANDINAVIAN PAISLEY WRAP,409.5,975,2010-12-08 10:45:00,2011-11-24 17:06:00,38,39,0.42,15,38,0
22052,VINTAGE CARAVAN GIFT WRAP,273.0,650,2010-12-06 08:34:00,2011-07-11 14:10:00,24,27,0.42,151,24,1
22053,EMPIRE DESIGN ROSETTE,3606.4199999999996,4244,2010-12-10 10:21:00,2011-11-08 12:58:00,26,28,0.8497690857681431,31,26,0
22055,MINI CAKE STAND  HANGING STRAWBERY,2083.19,1375,2010-12-10 12:50:00,2011-12-08 15:44:00,135,220,1.5150472727272728,1,135,0
22057,CERAMIC PLATE STRAWBERRY DESIGN,667.92,584,2010-12-08 10:40:00,2011-12-08 15:54:00,48,61,1.1436986301369862,1,48,0
22059,CERAMIC STRAWBERRY DESIGN MUG,2081.54,1780,2010-12-01 12:12:00,2011-12-09 11:20:00,123,173,1.1694044943820225,1,123,0
22060,LARGE CAKE STAND HANGING HEARTS,1111.05,231,2010-12-02 18:08:00,2011-05-23 14:11:00,26,34,4.809740259740259,200,26,1
22061,LARGE CAKE STAND  HANGING STRAWBERY,4218.0599999999995,582,2010-12-02 18:08:00,2011-12-09 12:49:00,115,146,7.247525773195876,1,115,0
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,677.86,583,2010-12-16 10:28:00,2011-10-14 11:08:00,61,73,1.1627101200686107,57,61,0
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1367.45,583,2010-12-08 13:11:00,2011-12-08 10:39:00,97,120,2.345540308747856,2,97,0
